timepoint model testSet feature importance
1.0 place 1 metAtHome 0.0249301392731
1.0 place 1 metAtUniversity 0.0984029619391
1.0 place 1 metAtThirdPlace 0.0116001338662
1.0 place 1 metAtOtherPlace 0.019592976849
1.0 place 1 timeSpentAtHomeWith 0.0326284041318
1.0 place 1 timeSpentAtUniversityWith 0.219552693388
1.0 place 1 timeSpentAtThirdPlaceWith 0.00697654387242
1.0 place 1 timeSpentAtOtherPlaceWith 0.00464152454254
1.0 place 2 timeSpent 0.46213906215
1.0 place 2 friends 0.113659396875
1.0 place 2 metAtHome 0.0255115857617
1.0 place 2 metAtUniversity 0.0983203744461
1.0 place 2 metAtThirdPlace 0.0142024916425
1.0 place 2 metAtOtherPlace 0.0228555501701
1.0 place 2 timeSpentAtHomeWith 0.0295225174222
1.0 place 2 timeSpentAtUniversityWith 0.219113864301
1.0 place 2 timeSpentAtThirdPlaceWith 0.00928484740672
1.0 place 2 timeSpentAtOtherPlaceWith 0.00539030982469
1.0 place 3 timeSpent 0.469408090511
1.0 place 3 friends 0.116594657713
1.0 place 3 metAtHome 0.0254507127895
1.0 place 3 metAtUniversity 0.0953046361808
1.0 place 3 metAtThirdPlace 0.0137364591687
1.0 place 3 metAtOtherPlace 0.0223530150873
1.0 place 3 timeSpentAtHomeWith 0.0281756335838
1.0 place 3 timeSpentAtUniversityWith 0.216536162024
1.0 place 3 timeSpentAtThirdPlaceWith 0.00818946171231
1.0 place 3 timeSpentAtOtherPlaceWith 0.00425117122979
1.0 place 4 timeSpent 0.461606477386
1.0 place 4 friends 0.116546373699
1.0 place 4 metAtHome 0.0272971376312
1.0 place 4 metAtUniversity 0.0981398894469
1.0 place 4 metAtThirdPlace 0.012484959181
1.0 place 4 metAtOtherPlace 0.0218465364464
1.0 place 4 timeSpentAtHomeWith 0.0315489569808
1.0 place 4 timeSpentAtUniversityWith 0.215967359272
1.0 place 4 timeSpentAtThirdPlaceWith 0.00899327867888
1.0 place 4 timeSpentAtOtherPlaceWith 0.00556903127786
1.0 place 5 timeSpent 0.460418658209
1.0 place 5 friends 0.116038084421
1.0 place 5 metAtHome 0.0272483312333
1.0 place 5 metAtUniversity 0.0954001398255
1.0 place 5 metAtThirdPlace 0.013802300614
1.0 place 5 metAtOtherPlace 0.0224874190511
1.0 place 5 timeSpentAtHomeWith 0.0349435424788
1.0 place 5 timeSpentAtUniversityWith 0.215531544805
1.0 place 5 timeSpentAtThirdPlaceWith 0.0087144068637
1.0 place 5 timeSpentAtOtherPlaceWith 0.00541557249845
1.0 place 6 timeSpent 0.462318322094
1.0 place 6 friends 0.114543228949
1.0 place 6 metAtHome 0.0267660821524
1.0 place 6 metAtUniversity 0.0997386501098
1.0 place 6 metAtThirdPlace 0.0124489914165
1.0 place 6 metAtOtherPlace 0.0219305546356
1.0 place 6 timeSpentAtHomeWith 0.0310471393868
1.0 place 6 timeSpentAtUniversityWith 0.218591666815
1.0 place 6 timeSpentAtThirdPlaceWith 0.00724558218342
1.0 place 6 timeSpentAtOtherPlaceWith 0.00536978225692
1.0 place 7 timeSpent 0.463523841593
1.0 place 7 friends 0.112090162348
1.0 place 7 metAtHome 0.0292987454096
1.0 place 7 metAtUniversity 0.0962565367655
1.0 place 7 metAtThirdPlace 0.0139044975904
1.0 place 7 metAtOtherPlace 0.022173992586
1.0 place 7 timeSpentAtHomeWith 0.0356492611625
1.0 place 7 timeSpentAtUniversityWith 0.213659016738
1.0 place 7 timeSpentAtThirdPlaceWith 0.00854978277663
1.0 place 7 timeSpentAtOtherPlaceWith 0.00489416303035
1.0 place 8 timeSpent 0.458687109364
1.0 place 8 friends 0.114005427582
1.0 place 8 metAtHome 0.0287227703479
1.0 place 8 metAtUniversity 0.0954890489721
1.0 place 8 metAtThirdPlace 0.0139327441313
1.0 place 8 metAtOtherPlace 0.0212681522214
1.0 place 8 timeSpentAtHomeWith 0.0332339895496
1.0 place 8 timeSpentAtUniversityWith 0.220769084668
1.0 place 8 timeSpentAtThirdPlaceWith 0.0089045219799
1.0 place 8 timeSpentAtOtherPlaceWith 0.00498715118295
1.0 place 9 timeSpent 0.469483204587
1.0 place 9 friends 0.117292897087
1.0 place 9 metAtHome 0.0260894872621
1.0 place 9 metAtUniversity 0.0936342331724
1.0 place 9 metAtThirdPlace 0.0133621006854
1.0 place 9 metAtOtherPlace 0.0238149027841
1.0 place 9 timeSpentAtHomeWith 0.0346057352379
1.0 place 9 timeSpentAtUniversityWith 0.209327051224
1.0 place 9 timeSpentAtThirdPlaceWith 0.00677496990308
1.0 place 9 timeSpentAtOtherPlaceWith 0.00561541805626
1.0 timeSocialPlace 0 timeSpent 0.174079834241
1.0 timeSocialPlace 0 friends 0.0763331494476
